Date,High,Low,Open,Close,Volume,Adj Close
2019-08-30,3.630000114440918,3.559999942779541,3.5999999046325684,3.5899999141693115,69358094,3.5899999141693115
2019-09-02,3.6600000858306885,3.619999885559082,3.640000104904175,3.630000114440918,69422628,3.630000114440918
2019-09-03,3.7300000190734863,3.609999895095825,3.640000104904175,3.7100000381469727,146905502,3.7100000381469727
2019-09-04,3.7200000286102295,3.6600000858306885,3.690000057220459,3.700000047683716,87879847,3.700000047683716
2019-09-05,3.7699999809265137,3.7100000381469727,3.7100000381469727,3.7200000286102295,155040554,3.7200000286102295
2019-09-06,3.740000009536743,3.6700000762939453,3.740000009536743,3.700000047683716,94988478,3.700000047683716
2019-09-09,3.740000009536743,3.680000066757202,3.7100000381469727,3.740000009536743,133658031,3.740000009536743
2019-09-10,3.869999885559082,3.7200000286102295,3.7300000190734863,3.7699999809265137,204188961,3.7699999809265137
2019-09-11,3.809999942779541,3.75,3.7799999713897705,3.7699999809265137,100595886,3.7699999809265137
2019-09-12,3.819999933242798,3.7300000190734863,3.7899999618530273,3.7799999713897705,102098123,3.7799999713897705
2019-09-16,3.890000104904175,3.809999942779541,3.869999885559082,3.8299999237060547,153768809,3.8299999237060547
2019-09-17,3.819999933242798,3.7200000286102295,3.809999942779541,3.7200000286102295,103181084,3.7200000286102295
2019-09-18,3.75,3.7100000381469727,3.7200000286102295,3.7200000286102295,56870104,3.7200000286102295
2019-09-19,3.759999990463257,3.7100000381469727,3.740000009536743,3.7300000190734863,64825273,3.7300000190734863
2019-09-20,3.740000009536743,3.700000047683716,3.740000009536743,3.7300000190734863,58640180,3.7300000190734863
2019-09-23,3.7200000286102295,3.6600000858306885,3.7200000286102295,3.6700000762939453,51365927,3.6700000762939453
2019-09-24,3.7300000190734863,3.640000104904175,3.6700000762939453,3.690000057220459,82391851,3.690000057220459
2019-09-25,3.8299999237060547,3.640000104904175,3.6700000762939453,3.7699999809265137,161841820,3.7699999809265137
2019-09-26,3.799999952316284,3.6700000762939453,3.75,3.680000066757202,109480766,3.680000066757202
2019-09-27,3.7200000286102295,3.6600000858306885,3.680000066757202,3.6700000762939453,63529062,3.6700000762939453
2019-09-30,3.680000066757202,3.609999895095825,3.6700000762939453,3.640000104904175,50825488,3.640000104904175
